time (seconds),encoderLeft (meters),encoderRight (meters)
150.802,0.5747545957565308,1.778927206993103
150.901,0.5747534036636353,1.778925895690918
151.003,0.5747522115707397,1.778924584388733
151.1,0.5747510194778442,1.7789232730865479
151.199,0.5724024772644043,1.7812702655792236
151.297,0.5700520873069763,1.7836190462112427
151.401,0.5677017569541931,1.7859680652618408
151.498,0.5653513669967651,1.7883168458938599
151.601,0.5630010962486267,1.790665864944458
151.7,0.5606507062911987,1.7930147647857666
151.8,0.5583003163337708,1.7953635454177856
151.897,0.5559499859809875,1.7977124452590942
151.996,0.5535995960235596,1.8000613451004028
152.099,0.5512493252754211,1.8024102449417114
152.2,0.5488989353179932,1.8047592639923096
152.301,0.54654860496521,1.8071081638336182
152.397,0.544198215007782,1.8094570636749268
152.501,0.5418478846549988,1.8118059635162354
152.598,0.5394976139068604,1.814154863357544
152.696,0.5371471643447876,1.816503643989563
152.802,0.5347967743873596,1.8188525438308716
152.899,0.5324464440345764,1.8212014436721802
153,0.5300961136817932,1.8235503435134888
153.101,0.52774578332901,1.8258992433547974
153.201,0.525395393371582,1.828248143196106
153.299,0.5230451226234436,1.8305970430374146
153.397,0.5206947326660156,1.8329459428787231
153.508,0.5183443427085876,1.8352948427200317
153.6,0.5159940719604492,1.8376437425613403
153.703,0.5136436820030212,1.839992642402649
153.799,0.5112932920455933,1.8423415422439575
153.9,0.5089429616928101,1.8446904420852661
154.002,0.5065926313400269,1.8470393419265747
154.092,0.5042423009872437,1.8493882417678833
154.196,0.5018919110298157,1.851737141609192
154.301,0.4995415508747101,1.854085922241211
154.393,0.4971911907196045,1.8564348220825195
154.501,0.4948408603668213,1.8587837219238281
154.6,0.4924904406070709,1.8611326217651367
154.701,0.49014008045196533,1.8634815216064453
154.802,0.4877897799015045,1.865830421447754
154.9,0.4854394495487213,1.8681793212890625
155.002,0.4830890893936157,1.870528221130371
155.1,0.48073866963386536,1.8728770017623901
155.201,0.47838839888572693,1.8752260208129883
155.301,0.47603800892829895,1.8775748014450073
155.401,0.47368764877319336,1.879923701286316
155.501,0.47133731842041016,1.8822726011276245
155.598,0.46898695826530457,1.884621500968933
155.692,0.46663662791252136,1.8869704008102417
155.797,0.46428626775741577,1.8893193006515503
155.901,0.46193593740463257,1.8916682004928589
156,0.459585577249527,1.8940171003341675
156.1,0.45723527669906616,1.896366000175476
156.2,0.45488494634628296,1.8987149000167847
156.3,0.45253458619117737,1.9010637998580933
156.4,0.45018428564071655,1.9034126996994019
156.501,0.44783392548561096,1.9057615995407104
156.599,0.44548356533050537,1.908110499382019
156.701,0.44313323497772217,1.9104593992233276
156.79,0.4407828748226166,1.9128082990646362
156.9,0.438432514667511,1.9151571989059448
156.99,0.4360821843147278,1.9175060987472534
157.101,0.4337318241596222,1.919854998588562
157.2,0.431381493806839,1.9222038984298706
157.302,0.4290311634540558,1.9245527982711792
157.401,0.42668086290359497,1.9269016981124878
157.5,0.4243305027484894,1.9292505979537964
157.6,0.4219801425933838,1.931599497795105
157.697,0.41962987184524536,1.9339483976364136
157.803,0.4172794818878174,1.9362972974777222
157.901,0.4149291515350342,1.9386461973190308
158.004,0.4125787913799286,1.9409950971603394
158.104,0.410228431224823,1.943343997001648
158.197,0.40787816047668457,1.9456928968429565
158.301,0.4055277705192566,1.9480417966842651
158.401,0.4031774401664734,1.9503906965255737
158.5,0.4008270800113678,1.9527394771575928
158.601,0.3984767496585846,1.955088496208191
158.696,0.396126389503479,1.95743727684021
158.801,0.3937760293483734,1.959786295890808
158.9,0.3914256989955902,1.9621351957321167
158.996,0.3890753388404846,1.9644840955734253
159.101,0.3867250084877014,1.9668328762054443
159.201,0.3843746483325958,1.969181776046753
159.299,0.382024347782135,1.971530795097351
159.401,0.37967395782470703,1.9738795757293701
159.501,0.37732362747192383,1.9762284755706787
159.601,0.37497326731681824,1.9785774946212769
159.701,0.37262290716171265,1.980926275253296
159.802,0.37027254700660706,1.9832751750946045
159.902,0.36792221665382385,1.985624074935913
159.999,0.36557185649871826,1.9879729747772217
160.094,0.3632214665412903,1.9903218746185303
160.2,0.3608711361885071,1.9926707744598389
160.299,0.3585207760334015,1.9950196743011475
160.399,0.3561703860759735,1.997368574142456
160.482,0.3538200557231903,1.9997174739837646
160.601,0.3514697849750519,2.0020663738250732
160.699,0.3491193652153015,2.004415273666382
160.801,0.34676897525787354,2.0067641735076904
160.899,0.34441861510276794,2.009113073348999
161,0.34206825494766235,2.0114619731903076
161.095,0.33971795439720154,2.013810873031616
161.201,0.33736756443977356,2.016159772872925
161.3,0.33501720428466797,2.0185086727142334
161.4,0.33266681432724,2.020857572555542
161.501,0.3303164541721344,2.0232064723968506
161.601,0.3279660940170288,2.02555513381958
161.701,0.3256157636642456,2.0279042720794678
161.801,0.3232653737068176,2.0302529335021973
161.9,0.32091498374938965,2.032601833343506
162.002,0.31856465339660645,2.0349507331848145
162.101,0.31621429324150085,2.037299633026123
162.199,0.31386393308639526,2.0396485328674316
162.298,0.3115135729312897,2.0419974327087402
162.399,0.3091631531715393,2.044346332550049
162.503,0.3068128526210785,2.0466952323913574
162.599,0.3044624626636505,2.049044132232666
162.701,0.3021121323108673,2.0513930320739746
162.801,0.29976171255111694,2.053741931915283
162.9,0.29741135239601135,2.056090831756592
163,0.29506099224090576,2.0584394931793213
163.101,0.29271063208580017,2.06078839302063
163.199,0.29036033153533936,2.0631372928619385
163.302,0.288009911775589,2.065486192703247
163.4,0.2856595814228058,2.0678350925445557
163.496,0.2833091914653778,2.0701839923858643
163.6,0.2809589207172394,2.072532892227173
163.707,0.2786085307598114,2.0748817920684814
163.8,0.2762581706047058,2.07723069190979
163.9,0.2739078402519226,2.0795795917510986
